bill_id,primary sponsor,bill_title
SB 681,Cunningham,Requires a probation officer to notify the prosecutor if he or she has probable cause to believe a probationer has violated a condition of probation
HB 1474,"Dugger, Tony",Modifies provisions relating to ethics and repeals provisions of law deemed unconstitutional
HB 2235,"Corlew, Kevin",Allows the Department of Revenue to issue REAL ID compliant driver's licenses and identification cards
HB 1620,"Kelley, Mike",Modifies provisions relating to family law proceedings
HB 1928,"Burlison, Eric","Creates the ""Legislative Task Force on Dyslexia"" and requires the Department of Elementary and Secondary Education to employ a dyslexia specialist and develop professional development programs for school staff"
SB 905,Sifton,Changes the effective date of the repeal and enactment of certain provisions of the Uniform Interstate Family Support Act
HB 1649,"Haahr, Elijah",Establishes the Rescue the Forgotten law to provide immunity from civil liability for persons who render assistance to children trapped in motor vehicles
HB 2150,"Wiemann, John","Requires life insurance companies to compare policies, annuities, and accounts against a death master file for potential matches and to either pay beneficiaries or remit unclaimed benefits to state treasurer"
SB 855,Pearce,Establishes a tuition grant program for spouses and children of war veterans
HB 2257,"Jones, Caleb","Modifies title insurance law with respect to the performance of escrow, settlement, or closing services by title insurers, agencies, and agents"
SB 875,Schaefer,Allows a pharmacist to select an interchangeable biological product when filling a biological product prescription
SB 985,Wasson,Establishes a new nursing licensure compact
HB 1951,"Spencer, Bryan",Prohibits private land-use agreements from precluding amateur service communications
HB 2496,"Fitzpatrick, Scott",Changes the laws regarding reimbursements for emergency medical transportation under the MO HealthNet program
SB 624,Libla,Modifies the crimes of stealing and fraudulent procurement of a credit or debit device
HB 1448,"Redmon, Craig",Changes the laws regarding sales and use tax exemptions for utilities used or consumed in the preparation of food
SB 921,Riddle,Modifies requirements for the reporting of crimes and domestic violence incidents by law enforcement agencies
HB 1733,"Davis, Charlie","Adds vehicles owned and operated by the Civil Support Team of the Missouri National Guard when used during operations involving hazardous materials to the definition of ""emergency vehicle"""
HB 2590,"Plocher, Dean",Changes the laws regarding the Uniform Commercial Code to adopt the current version of Articles 1 and 7
HB 2125,"Fitzwater, Travis",Authorizes financial institutions to offer savings promotion plans
HB 2194,"Hoskins, Denny",Changes the laws regarding insurance policy renewal so that insurers are no longer required to nonrenew when transferring a policy to an affiliate
HB 1432,"Vescovo, Rob",Requires a hearing to be held within 60 days if a state employee is placed on administrative leave
SB 932,Cunningham,Modifies provisions of law relating to credit union account verification
HB 2812,"Crawford, Sandy",Requires the State Treasurer to issue letter rulings regarding the administration of the Uniform Disposition of Unclaimed Property Act
HB 2013,"Flanigan, Tom",Appropriates money for real property leases and related services
SB 659,Wasson,Modifies regulation of autocycle operators and exempts such operators from using protective headgear
SB 897,Hegeman,Removes penalties for taxes paid under protest or as part of a disputed assessment
HB 2576,"Dogan, Shamed",Requires the department of higher education to create guidance regarding notice of public employee eligibility for loan forgiveness and requires public employers to give such notice to employees
HB 2429,"Dohrman, Dean",Specifies that unpaid volunteers of a tax-exempt veteran's organization are not subject to the Workers' Compensation Law
SB 831,Wasson,"Provides acceptable ways a professional licensee may submit payment, application, requests for educational time extensions or notify his or her licensing board"
HB 1619,"McCaherty, John","Establishes a two-year statute of limitations for actions against a mental health professional for malpractice, negligence, error, or mistake"
HB 1964,"Walker, Nate",Changes the laws regarding public safety officers who are eligible for a survivor's and disabled employee's educational grant and the disbursement of any unpaid workers compensation into his or her estate
HB 1433,"Koenig, Andrew",Establishes the Supporting and Strengthening Families Act
HB 1477,"Dugger, Tony",Amends laws relating to elections and political parties
SB 638,Ryan Silvey,"Creates the ""Missouri Civics Education Initiative"""
HB 2377,"Jones, Caleb",Prohibits the fine collection center from taking an individual's drivers' license for failure to appear for a traffic violation
HB 1729,"Reiboldt, Bill","Prohibits political subdivisions from adopting any ordinance or regulation relating to the labeling, cultivation, or other use of fertilizers or soil conditioners"
HB 1867,"Fitzpatrick, Scott","Specifies that beginning January 1, 2017, certain shareholders of S corporations may elect to reject workers' compensation insurance coverage"
HB 1392,"King, Nick",Changes the requirements for the Department of Health and Senior Services to survey every hospice to not less than every three years
HB 1534,"Flanigan, Tom",Extends the expiration date on various federal reimbursement allowances for two years
HB 1717,"Lichtenegger, Donna","Requires a public water system to notify the Department of Natural Resources, the Department of Health and Senior Services, and its customers at least 90 days prior to a vote to cease fluoridation"
HB 2461,"Ross, Robert",Removes the requirement that land surveyors submit letters of reference in order to be licensed
HB 2345,"Kolkmeyer, Glen",Authorizes the highways and transportation commission to promulgate administrative rules to implement a connected vehicle technology testing program.
SB 661,Dixon,Creates a cause of action for persons who have been deprived of certain rights and modifies the statute specifying when police officers are justified in using force
HR 2494,"Cierpiot, Mike",Establishes the permanent officers of the House of Representatives
HB 1370,"Miller, Rocky",Changes the laws regarding consent for a minor to obtain an abortion
HB 1585,"Hill, Justin",Modifies provisions relating to videoconferencing at parole hearings
HB 2332,"Corlew, Kevin",Changes provisions relating to judicial proceedings
HB 1718,"Corlew, Kevin",Changes the Uniform Arbitration Act regarding agreements between employers and at-will employees
